Sample 1
4/14/2024 5:07 PM
Wavelength (nm)	10mm Absorbance
286.0	0.038
286.5	0.029
287.0	0.031
287.5	0.034
288.0	0.032
288.5	0.025
289.0	0.019
289.5	0.017
290.0	0.014
290.5	0.011
291.0	0.012
291.5	0.013
292.0	0.017
292.5	0.018
293.0	0.019
293.5	0.019
294.0	0.020
294.5	0.019
295.0	0.017
295.5	0.016
296.0	0.018
296.5	0.019
297.0	0.016
297.5	0.014
298.0	0.018
298.5	0.019
299.0	0.021
299.5	0.017
300.0	0.016
300.5	0.013
301.0	0.014
301.5	0.010
302.0	0.003
302.5	0.006
303.0	0.010
303.5	0.011
304.0	0.021
304.5	0.026
305.0	0.027
305.5	0.027
306.0	0.030
306.5	0.023
307.0	0.017
307.5	0.014
308.0	0.010
308.5	0.009
309.0	0.013
309.5	0.016
310.0	0.015
310.5	0.018
311.0	0.025
311.5	0.026
312.0	0.023
312.5	0.020
313.0	0.021
313.5	0.022
314.0	0.020
314.5	0.024
315.0	0.028
315.5	0.024
316.0	0.027
316.5	0.020
317.0	0.015
317.5	0.017
318.0	0.026
318.5	0.029
319.0	0.023
319.5	0.024
320.0	0.028
320.5	0.017
321.0	0.015
321.5	0.008
322.0	0.006
322.5	0.007
323.0	0.007
323.5	0.006
324.0	0.004
324.5	0.011
325.0	0.022
325.5	0.030
326.0	0.038
326.5	0.040
327.0	0.036
327.5	0.034
328.0	0.029
328.5	0.024
329.0	0.018
329.5	0.015
330.0	0.019
330.5	0.023
331.0	0.026
331.5	0.023
332.0	0.023
332.5	0.028
333.0	0.027
333.5	0.024
334.0	0.018
334.5	0.016
335.0	0.019
335.5	0.017
336.0	0.017
336.5	0.017
337.0	0.018
337.5	0.018
338.0	0.021
338.5	0.027
339.0	0.025
339.5	0.032
340.0	0.032
340.5	0.027
341.0	0.023
341.5	0.022
342.0	0.015
342.5	0.014
343.0	0.018
343.5	0.022
344.0	0.026
344.5	0.025
345.0	0.021
345.5	0.022
346.0	0.017
346.5	0.013
347.0	0.010
347.5	0.010
348.0	0.019
348.5	0.021
349.0	0.021
349.5	0.018
350.0	0.018
350.5	0.021
351.0	0.016
351.5	0.011
352.0	0.008
352.5	0.013
353.0	0.021
353.5	0.018
354.0	0.017
354.5	0.017
355.0	0.015
355.5	0.015
356.0	0.011
356.5	0.009
357.0	0.010
357.5	0.013
358.0	0.013
358.5	0.012
359.0	0.011
359.5	0.011
360.0	0.013
360.5	0.012
361.0	0.012
361.5	0.015
362.0	0.018
362.5	0.020
363.0	0.019
363.5	0.022
364.0	0.018
364.5	0.019
365.0	0.022
365.5	0.020
366.0	0.019
366.5	0.017
367.0	0.020
367.5	0.016
368.0	0.013
368.5	0.016
369.0	0.010
369.5	0.010
370.0	0.009
370.5	0.008
371.0	0.006
371.5	0.007
372.0	0.018
372.5	0.016
373.0	0.022
373.5	0.025
374.0	0.026
374.5	0.023
375.0	0.017
375.5	0.017
376.0	0.014
376.5	0.018
377.0	0.022
377.5	0.022
378.0	0.026
378.5	0.029
379.0	0.032
379.5	0.031
380.0	0.025
380.5	0.025
381.0	0.022
381.5	0.018
382.0	0.018
382.5	0.017
383.0	0.016
383.5	0.015
384.0	0.016
384.5	0.017
385.0	0.014
385.5	0.016
386.0	0.018
386.5	0.025
387.0	0.027
387.5	0.024
388.0	0.020
388.5	0.014
389.0	0.019
389.5	0.017
390.0	0.018
390.5	0.022
391.0	0.024
391.5	0.031
392.0	0.025
392.5	0.022
393.0	0.017
393.5	0.010
394.0	0.012
394.5	0.004
395.0	0.003
395.5	0.006
396.0	0.011
396.5	0.015
397.0	0.020
397.5	0.023
398.0	0.025
398.5	0.022
399.0	0.022
399.5	0.014
400.0	0.011
400.5	0.009
401.0	0.011
401.5	0.011
402.0	0.014
402.5	0.014
403.0	0.018
403.5	0.018
404.0	0.018
404.5	0.014
405.0	0.015
405.5	0.012
406.0	0.009
406.5	0.008
407.0	0.006
407.5	0.004
408.0	0.003
408.5	0.001
409.0	-0.002
409.5	-0.003
410.0	0.001
410.5	0.004
411.0	0.008
411.5	0.014
412.0	0.016
412.5	0.017
413.0	0.018
413.5	0.017
414.0	0.015
414.5	0.013
415.0	0.012
415.5	0.011
416.0	0.014
416.5	0.018
417.0	0.017
417.5	0.015
418.0	0.013
418.5	0.013
419.0	0.011
419.5	0.011
420.0	0.008
420.5	0.007
421.0	0.009
421.5	0.011
422.0	0.009
422.5	0.008
423.0	0.004
423.5	0.004
424.0	0.001
424.5	0.003
425.0	0.004
425.5	0.004
426.0	0.006
426.5	0.012
427.0	0.011
427.5	0.011
428.0	0.008
428.5	0.008
429.0	0.008
429.5	0.010
430.0	0.010
430.5	0.014
431.0	0.018
431.5	0.020
432.0	0.019
432.5	0.017
433.0	0.018
433.5	0.018
434.0	0.017
434.5	0.012
435.0	0.009
435.5	0.008
436.0	0.007
436.5	0.005
437.0	0.006
437.5	0.009
438.0	0.014
438.5	0.012
439.0	0.013
439.5	0.013
440.0	0.012
440.5	0.009
441.0	0.008
441.5	0.007
442.0	0.008
442.5	0.008
443.0	0.008
443.5	0.007
444.0	0.006
444.5	0.007
445.0	0.007
445.5	0.008
446.0	0.006
446.5	0.006
447.0	0.005
447.5	0.006
448.0	0.006
448.5	0.007
449.0	0.009
449.5	0.013
450.0	0.018
450.5	0.019
451.0	0.019
451.5	0.018
452.0	0.016
452.5	0.015
453.0	0.013
453.5	0.014
454.0	0.014
454.5	0.013
455.0	0.015
455.5	0.012
456.0	0.012
456.5	0.014
457.0	0.013
457.5	0.013
458.0	0.013
458.5	0.013
459.0	0.009
459.5	0.009
460.0	0.006
460.5	0.007
461.0	0.007
461.5	0.009
462.0	0.008
462.5	0.011
463.0	0.013
463.5	0.016
464.0	0.016
464.5	0.017
465.0	0.015
465.5	0.015
466.0	0.013
466.5	0.009
467.0	0.006
467.5	0.007
468.0	0.007
468.5	0.007
469.0	0.005
469.5	0.006
470.0	0.008
470.5	0.005
471.0	0.006
471.5	0.006
472.0	0.007
472.5	0.012
473.0	0.013
473.5	0.013
474.0	0.012
474.5	0.014
475.0	0.015
475.5	0.013
476.0	0.012
476.5	0.015
477.0	0.016
477.5	0.017
478.0	0.019
478.5	0.019
479.0	0.017
479.5	0.016
480.0	0.017
480.5	0.017
481.0	0.014
481.5	0.014
482.0	0.011
482.5	0.009
483.0	0.008
483.5	0.005
484.0	0.004
484.5	0.004
485.0	0.007
485.5	0.008
486.0	0.008
486.5	0.006
487.0	0.007
487.5	0.007
488.0	0.008
488.5	0.009
489.0	0.011
489.5	0.013
490.0	0.015
490.5	0.015
491.0	0.015
491.5	0.012
492.0	0.008
492.5	0.006
493.0	0.006
493.5	0.007
494.0	0.009
494.5	0.010
495.0	0.012
495.5	0.011
496.0	0.010
496.5	0.006
497.0	0.006
497.5	0.008
498.0	0.009
498.5	0.010
499.0	0.013
499.5	0.017
500.0	0.019
500.5	0.018
501.0	0.016
501.5	0.013
502.0	0.017
502.5	0.016
503.0	0.018
503.5	0.017
504.0	0.017
504.5	0.017
505.0	0.014
505.5	0.013
506.0	0.011
506.5	0.007
507.0	0.005
507.5	0.006
508.0	0.004
508.5	0.004
509.0	0.005
509.5	0.004
510.0	0.005
510.5	0.007
511.0	0.009
511.5	0.010
512.0	0.010
512.5	0.010
513.0	0.007
513.5	0.012
514.0	0.013
514.5	0.008
515.0	0.009
515.5	0.011
516.0	0.015
516.5	0.016
517.0	0.013
517.5	0.013
518.0	0.014
518.5	0.016
519.0	0.012
519.5	0.007
520.0	0.008
520.5	0.009
521.0	0.012
521.5	0.014
522.0	0.009
522.5	0.010
523.0	0.011
523.5	0.008
524.0	0.006
524.5	0.004
525.0	0.005
525.5	0.004
526.0	0.006
526.5	0.003
527.0	-0.001
527.5	0.000
528.0	0.002
528.5	-0.001
529.0	0.000
529.5	0.004
530.0	0.008
530.5	0.009
531.0	0.011
531.5	0.006
532.0	0.008
532.5	0.009
533.0	0.006
533.5	0.005
534.0	0.006
534.5	0.007
535.0	0.010
535.5	0.011
536.0	0.010
536.5	0.009
537.0	0.012
537.5	0.011
538.0	0.010
538.5	0.012
539.0	0.011
539.5	0.010
540.0	0.010
540.5	0.007
541.0	0.003
541.5	0.002
542.0	0.000
542.5	0.001
543.0	0.002
543.5	0.003
544.0	0.002
544.5	0.004
545.0	0.005
545.5	0.009
546.0	0.010
546.5	0.013
547.0	0.014
547.5	0.015
548.0	0.015
548.5	0.013
549.0	0.011
549.5	0.007
550.0	0.006
550.5	0.005
551.0	0.000
551.5	0.002
552.0	0.003
552.5	0.003
553.0	0.005
553.5	0.007
554.0	0.009
554.5	0.011
555.0	0.013
555.5	0.014
556.0	0.013
556.5	0.012
557.0	0.014
557.5	0.010
558.0	0.006
558.5	0.005
559.0	0.004
559.5	0.005
560.0	0.007
560.5	0.009
561.0	0.006
561.5	0.005
562.0	0.006
562.5	0.004
563.0	0.005
563.5	0.008
564.0	0.010
564.5	0.014
565.0	0.015
565.5	0.015
566.0	0.010
566.5	0.009
567.0	0.009
567.5	0.007
568.0	0.011
568.5	0.010
569.0	0.011
569.5	0.013
570.0	0.010
570.5	0.011
571.0	0.010
571.5	0.005
572.0	0.009
572.5	0.007
573.0	0.007
573.5	0.008
574.0	0.012
574.5	0.012
575.0	0.009
575.5	0.014
576.0	0.012
576.5	0.007
577.0	0.005
577.5	0.001
578.0	0.001
578.5	0.003
579.0	0.000
579.5	-0.003
580.0	-0.001
580.5	0.002
581.0	0.003
581.5	0.002
582.0	0.000
582.5	0.004
583.0	0.008
583.5	0.007
584.0	0.001
584.5	0.001
585.0	0.001
585.5	0.001
586.0	0.006
586.5	0.007
587.0	0.008
587.5	0.010
588.0	0.009
588.5	0.006
589.0	0.003
589.5	0.003
590.0	0.001
590.5	0.003
591.0	0.009
591.5	0.012
592.0	0.014
592.5	0.016
593.0	0.018
593.5	0.018
594.0	0.014
594.5	0.010
595.0	0.007
595.5	0.007
596.0	0.010
596.5	0.014
597.0	0.015
597.5	0.016
598.0	0.016
598.5	0.013
599.0	0.010
599.5	0.005
600.0	0.000
600.5	0.000
601.0	0.000
601.5	0.004
602.0	0.003
602.5	0.008
603.0	0.013
603.5	0.017
604.0	0.017
604.5	0.013
605.0	0.010
605.5	0.008
606.0	0.004
606.5	0.004
607.0	0.006
607.5	0.012
608.0	0.015
608.5	0.015
609.0	0.011
609.5	0.008
610.0	0.007
610.5	0.005
611.0	0.004
611.5	0.005
612.0	0.007
612.5	0.007
613.0	0.007
613.5	0.007
614.0	0.007
614.5	0.009
615.0	0.013
615.5	0.011
616.0	0.010
616.5	0.010
617.0	0.008
617.5	0.004
618.0	0.004
618.5	0.001
619.0	0.000
619.5	0.001
620.0	0.000
620.5	-0.002
621.0	-0.006
621.5	-0.009
622.0	-0.005
622.5	0.000
623.0	0.006
623.5	0.009
624.0	0.017
624.5	0.019
625.0	0.019
625.5	0.016
626.0	0.008
626.5	0.005
627.0	0.004
627.5	0.002
628.0	0.001
628.5	0.001
629.0	0.004
629.5	0.007
630.0	0.006
630.5	0.004
631.0	0.004
631.5	0.008
632.0	0.007
632.5	0.008
633.0	0.005
633.5	0.005
634.0	0.010
634.5	0.002
635.0	-0.005
635.5	-0.007
636.0	-0.006
636.5	-0.005
637.0	-0.005
637.5	-0.002
638.0	-0.001
638.5	0.004
639.0	0.001
639.5	-0.004
640.0	-0.004
640.5	0.001
641.0	0.004
641.5	0.007
642.0	0.008
642.5	0.013
643.0	0.011
643.5	0.010
644.0	0.005
644.5	-0.001
645.0	-0.001
645.5	-0.007
646.0	-0.009
646.5	-0.006
647.0	-0.002
647.5	0.004
648.0	0.009
648.5	0.012
649.0	0.014
649.5	0.012
650.0	0.011
650.5	0.007
651.0	0.004
651.5	0.003
652.0	0.006
652.5	0.008
653.0	0.009
653.5	0.006
654.0	0.004
654.5	0.001
655.0	-0.002
655.5	0.000
656.0	0.002
656.5	0.010
657.0	0.020
657.5	0.024
658.0	0.022
658.5	0.017
659.0	0.016
659.5	0.011
660.0	0.006
660.5	0.007
661.0	0.007
661.5	0.005
662.0	0.008
662.5	0.005
663.0	0.004
663.5	0.003
664.0	0.002
664.5	0.001
665.0	-0.004
665.5	-0.005
666.0	-0.009
666.5	-0.015
667.0	-0.016
667.5	-0.013
668.0	-0.006
668.5	0.000
669.0	0.007
669.5	0.014
670.0	0.017
670.5	0.025
671.0	0.024
671.5	0.020
672.0	0.014
672.5	0.011
673.0	0.014
673.5	0.009
674.0	0.008
674.5	0.006
675.0	0.006
675.5	0.009
676.0	0.008
676.5	0.009
677.0	0.009
677.5	0.012
678.0	0.016
678.5	0.014
679.0	0.013
679.5	0.007
680.0	0.005
680.5	0.001
681.0	-0.003
681.5	-0.001
682.0	-0.003
682.5	-0.001
683.0	0.002
683.5	0.005
684.0	0.007
684.5	0.004
685.0	0.003
685.5	-0.002
686.0	0.001
686.5	0.003
687.0	0.002
687.5	0.001
688.0	0.002
688.5	0.003
689.0	0.000
689.5	0.001
690.0	0.000
690.5	0.002
691.0	0.006
691.5	0.007
692.0	0.006
692.5	0.007
693.0	0.007
693.5	0.005
694.0	0.005
694.5	0.007
695.0	0.006
695.5	0.007
696.0	0.007
696.5	0.008
697.0	0.005
697.5	0.005
698.0	0.003
698.5	-0.003
699.0	-0.003
699.5	-0.001
700.0	-0.002
700.5	0.001
701.0	0.005
701.5	0.010
702.0	0.012
702.5	0.011
703.0	0.010
703.5	0.007
704.0	0.008
704.5	0.010
705.0	0.009
705.5	0.012
706.0	0.010
706.5	0.010
707.0	0.005
707.5	0.000
708.0	-0.003
708.5	-0.005
709.0	-0.006
709.5	-0.002
710.0	-0.004
710.5	-0.003
711.0	-0.006
711.5	-0.006
712.0	-0.004
712.5	-0.001
713.0	-0.001
713.5	0.000
714.0	0.002
714.5	0.006
715.0	0.004
715.5	0.000
716.0	-0.002
716.5	-0.005
717.0	0.001
717.5	0.005
718.0	0.008
718.5	0.009
719.0	0.011
719.5	0.013
720.0	0.010
720.5	0.009
721.0	0.006
721.5	0.008
722.0	0.011
722.5	0.013
723.0	0.014
723.5	0.015
724.0	0.017
724.5	0.010
725.0	0.013
725.5	0.010
726.0	0.007
726.5	0.003
727.0	-0.010
727.5	-0.017
728.0	-0.018
728.5	-0.021
729.0	-0.022
729.5	-0.023
730.0	-0.017
730.5	-0.013
731.0	-0.010
731.5	-0.008
732.0	-0.005
732.5	0.000
733.0	0.003
733.5	-0.002
734.0	-0.002
734.5	-0.004
735.0	-0.004
735.5	-0.004
736.0	-0.001
736.5	0.004
737.0	0.009
737.5	0.005
738.0	-0.001
738.5	-0.004
739.0	-0.004
739.5	0.000
740.0	0.000
740.5	0.002
741.0	0.007
741.5	0.006
742.0	0.007
742.5	0.002
743.0	0.002
743.5	-0.001
744.0	-0.001
744.5	0.003
745.0	0.006
745.5	0.012
746.0	0.017
746.5	0.014
747.0	0.016
747.5	0.013
748.0	0.012
748.5	0.003
749.0	0.000
749.5	-0.004
750.0	0.000
750.5	0.002
751.0	0.002
751.5	0.001
752.0	0.002
752.5	0.002
753.0	0.006
753.5	0.000
754.0	0.003
754.5	0.003
755.0	0.002
755.5	0.004
756.0	0.007
756.5	0.012
757.0	0.018
757.5	0.019
758.0	0.018
758.5	0.014
759.0	0.009
759.5	0.001
760.0	-0.006
760.5	-0.008
761.0	-0.007
761.5	0.001
762.0	0.006
762.5	0.008
763.0	0.006
763.5	0.002
764.0	-0.005
764.5	-0.012
765.0	-0.015
765.5	-0.015
766.0	-0.011
766.5	-0.005
767.0	0.003
767.5	0.006
768.0	0.012
768.5	0.014
769.0	0.020
769.5	0.019
770.0	0.016
770.5	0.015
771.0	0.005
771.5	0.000
772.0	-0.003
772.5	-0.005
773.0	-0.002
773.5	0.008
774.0	0.016
774.5	0.025
775.0	0.030
775.5	0.031
776.0	0.029
776.5	0.028
777.0	0.025
777.5	0.022
778.0	0.017
778.5	0.014
779.0	0.010
779.5	0.012
780.0	0.008
780.5	0.003
781.0	0.002
781.5	0.004
782.0	0.002
782.5	0.004
783.0	0.004
783.5	0.010
784.0	0.017
784.5	0.019
785.0	0.024
785.5	0.022
786.0	0.022
786.5	0.028
787.0	0.026
787.5	0.028
788.0	0.025
788.5	0.021
789.0	0.015
789.5	0.008
790.0	0.007
790.5	-0.002
791.0	-0.007
791.5	-0.002
792.0	-0.004
792.5	0.001
793.0	0.005
793.5	0.009
794.0	0.016
794.5	0.019
795.0	0.016
795.5	0.012
796.0	0.009
796.5	0.000
797.0	-0.007
797.5	-0.010
798.0	-0.015
798.5	-0.012
799.0	-0.008
799.5	-0.006
800.0	-0.006
800.5	0.003
801.0	0.012
801.5	0.014
802.0	0.020
802.5	0.022
803.0	0.019
803.5	0.026
804.0	0.019
804.5	0.012
805.0	0.004
805.5	0.001
806.0	-0.002
806.5	-0.008
807.0	-0.012
807.5	-0.011
808.0	-0.010
808.5	-0.003
809.0	-0.004
809.5	-0.004
810.0	0.004
810.5	0.014
811.0	0.018
811.5	0.025
812.0	0.022
812.5	0.018
813.0	0.014
813.5	0.004
814.0	-0.002
814.5	-0.006
815.0	0.000
815.5	0.001
816.0	0.010
816.5	0.015
817.0	0.015
817.5	0.011
818.0	0.005
818.5	0.004
819.0	0.005
819.5	0.008
820.0	0.007
820.5	0.002
821.0	0.000
821.5	-0.012
822.0	-0.024
822.5	-0.035
823.0	-0.042
823.5	-0.039
824.0	-0.038
824.5	-0.031
825.0	-0.025
825.5	-0.019
826.0	-0.015
826.5	-0.011
827.0	-0.011
827.5	-0.010
828.0	-0.009
828.5	-0.010
829.0	-0.009
829.5	-0.012
830.0	-0.008
830.5	-0.001
831.0	0.006
831.5	0.014
832.0	0.018
832.5	0.022
833.0	0.019
833.5	0.011
834.0	0.004
834.5	-0.008
835.0	-0.013
835.5	-0.015
836.0	-0.017
836.5	-0.018
837.0	-0.012
837.5	0.001
838.0	0.007
838.5	0.016
839.0	0.022
839.5	0.021
840.0	0.021
840.5	0.018
841.0	0.009
841.5	0.004
842.0	0.009
842.5	0.003
843.0	0.007
843.5	0.007
844.0	0.013
844.5	0.013
845.0	0.009
845.5	0.007
846.0	0.001
846.5	0.003
847.0	0.009
847.5	0.010
848.0	0.009
848.5	0.013
849.0	0.016
849.5	0.011
850.0	0.011


Sample 2
4/14/2024 6:32 PM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.34000	
//WLCalib: 261S 	0.70000	
//WLCalib: 362S 	0.10000	
//WLCalib: 484S 	0.58000	
//WLCalib: 529S 	0.68000	
//WLCalib: 823S 	0.28000	
//QSpecEnd: 
190.0	215.712
190.5	214.486
191.0	211.787
191.5	208.731
192.0	209.767
192.5	208.156
193.0	210.422
193.5	212.990
194.0	214.042
194.5	213.662
195.0	211.416
195.5	212.897
196.0	214.543
196.5	219.040
197.0	216.292
197.5	215.665
198.0	214.974
198.5	219.084
199.0	219.776
199.5	216.822
200.0	215.085
200.5	216.793
201.0	216.284
201.5	216.329
202.0	213.937
202.5	219.848
203.0	221.633
203.5	226.969
204.0	229.458
204.5	232.711
205.0	232.356
205.5	230.256
206.0	228.756
206.5	229.043
207.0	233.173
207.5	232.252
208.0	230.055
208.5	228.652
209.0	228.076
209.5	226.470
210.0	220.693
210.5	215.770
211.0	213.963
211.5	211.470
212.0	209.821
212.5	204.688
213.0	200.037
213.5	193.502
214.0	187.170
214.5	179.001
215.0	169.789
215.5	159.023
216.0	147.052
216.5	135.513
217.0	125.453
217.5	116.239
218.0	105.861
218.5	96.718
219.0	88.079
219.5	80.793
220.0	73.407
220.5	66.392
221.0	60.265
221.5	55.175
222.0	50.137
222.5	45.938
223.0	42.651
223.5	39.897
224.0	37.199
224.5	34.845
225.0	33.170
225.5	31.765
226.0	30.904
226.5	30.528
227.0	30.374
227.5	30.785
228.0	31.363
228.5	31.930
229.0	32.722
229.5	33.659
230.0	34.502
230.5	35.366
231.0	36.315
231.5	37.343
232.0	38.705
232.5	40.247
233.0	41.950
233.5	43.621
234.0	45.437
234.5	47.292
235.0	49.226
235.5	51.277
236.0	53.486
236.5	55.864
237.0	58.310
237.5	60.843
238.0	63.404
238.5	66.057
239.0	68.683
239.5	71.473
240.0	74.458
240.5	77.660
241.0	81.075
241.5	84.639
242.0	88.171
242.5	91.567
243.0	94.555
243.5	97.520
244.0	100.412
244.5	103.730
245.0	107.531
245.5	111.831
246.0	116.363
246.5	121.135
247.0	125.749
247.5	129.707
248.0	133.272
248.5	136.829
249.0	140.040
249.5	143.333
250.0	146.699
250.5	150.246
251.0	153.973
251.5	157.960
252.0	161.605
252.5	164.901
253.0	168.053
253.5	171.159
254.0	173.629
254.5	175.967
255.0	177.988
255.5	180.092
256.0	182.486
256.5	184.975
257.0	186.458
257.5	187.619
258.0	188.151
258.5	188.341
259.0	188.311
259.5	188.379
260.0	188.401
260.5	188.287
261.0	188.234
261.5	187.721
262.0	186.296
262.5	184.533
263.0	182.446
263.5	180.140
264.0	177.852
264.5	175.303
265.0	172.355
265.5	169.048
266.0	165.304
266.5	161.584
267.0	157.417
267.5	153.094
268.0	148.660
268.5	144.034
269.0	138.998
269.5	133.045
270.0	126.970
270.5	120.999
271.0	114.908
271.5	109.376
272.0	103.681
272.5	98.243
273.0	92.927
273.5	87.973
274.0	82.856
274.5	77.416
275.0	72.360
275.5	67.546
276.0	62.837
276.5	58.377
277.0	54.069
277.5	49.937
278.0	45.950
278.5	42.092
279.0	38.331
279.5	34.685
280.0	31.185
280.5	27.851
281.0	24.804
281.5	22.127
282.0	19.662
282.5	17.402
283.0	15.310
283.5	13.361
284.0	11.546
284.5	9.892
285.0	8.420
285.5	7.144
286.0	6.085
286.5	5.354
287.0	4.712
287.5	4.101
288.0	3.557
288.5	3.084
289.0	2.593
289.5	2.194
290.0	1.988
290.5	1.851
291.0	1.768
291.5	1.779
292.0	1.694
292.5	1.614
293.0	1.433
293.5	1.256
294.0	1.168
294.5	1.056
295.0	1.040
295.5	1.058
296.0	1.047
296.5	1.082
297.0	1.134
297.5	1.261
298.0	1.311
298.5	1.348
299.0	1.365
299.5	1.300
300.0	1.193
300.5	1.133
301.0	1.032
301.5	1.053
302.0	1.102
302.5	1.135
303.0	1.138
303.5	1.063
304.0	1.022
304.5	0.979
305.0	0.887
305.5	0.921
306.0	0.922
306.5	0.960
307.0	0.941
307.5	0.803
308.0	0.728
308.5	0.636
309.0	0.624
309.5	0.667
310.0	0.713
310.5	0.811
311.0	0.922
311.5	1.046
312.0	1.097
312.5	1.072
313.0	1.080
313.5	1.048
314.0	0.988
314.5	1.002
315.0	1.034
315.5	1.016
316.0	1.058
316.5	1.025
317.0	1.029
317.5	0.960
318.0	0.918
318.5	0.843
319.0	0.762
319.5	0.825
320.0	0.903
320.5	0.839
321.0	0.768
321.5	0.726
322.0	0.706
322.5	0.650
323.0	0.658
323.5	0.753
324.0	0.855
324.5	0.927
325.0	0.931
325.5	0.917
326.0	0.909
326.5	0.877
327.0	0.823
327.5	0.790
328.0	0.793
328.5	0.850
329.0	0.861
329.5	0.839
330.0	0.738
330.5	0.765
331.0	0.749
331.5	0.669
332.0	0.644
332.5	0.557
333.0	0.547
333.5	0.564
334.0	0.556
334.5	0.576
335.0	0.578
335.5	0.674
336.0	0.631
336.5	0.646
337.0	0.636
337.5	0.533
338.0	0.483
338.5	0.459
339.0	0.394
339.5	0.393
340.0	0.416
340.5	0.407
341.0	0.367
341.5	0.456
342.0	0.426
342.5	0.352
343.0	0.401
343.5	0.471
344.0	0.504
344.5	0.522
345.0	0.548
345.5	0.599
346.0	0.677
346.5	0.727
347.0	0.678
347.5	0.650
348.0	0.640
348.5	0.638
349.0	0.614
349.5	0.648
350.0	0.610
350.5	0.585
351.0	0.597
351.5	0.505
352.0	0.448
352.5	0.400
353.0	0.411
353.5	0.486
354.0	0.566
354.5	0.706
355.0	0.732
355.5	0.733
356.0	0.728
356.5	0.636
357.0	0.621
357.5	0.625
358.0	0.640
358.5	0.698
359.0	0.744
359.5	0.799
360.0	0.801
360.5	0.754
361.0	0.664
361.5	0.595
362.0	0.594
362.5	0.601
363.0	0.608
363.5	0.712
364.0	0.773
364.5	0.881
365.0	0.942
365.5	0.897
366.0	0.791
366.5	0.707
367.0	0.622
367.5	0.565
368.0	0.510
368.5	0.462
369.0	0.467
369.5	0.534
370.0	0.586
370.5	0.536
371.0	0.465
371.5	0.482
372.0	0.476
372.5	0.479
373.0	0.416
