Accession	Title	BioProject	BioSample	Status	Release Date	Created	Updated	Submission	SRA.filename
SRR37002228	012_P4P6_WT_nobc_5mMMgMRTpH83_tp5_p	PRJNA1400640	SAMN54924849	ToBeReleased	2027-02-01	2026-01-27T17:40:29Z	2026-01-27T17:45:16Z	SUB15970265	012_P4P6_WT_nobc_5mMMgMRTpH83_tp5_p_S12_L001_R1_001.fastq.gz, 012_P4P6_WT_nobc_5mMMgMRTpH83_tp5_p_S12_L001_R2_001.fastq.gz
SRR37002231	009_P4P6_WT_nobc_5mMMgMRTpH83_tp2_p	PRJNA1400640	SAMN54924846	ToBeReleased	2027-02-01	2026-01-27T17:40:29Z	2026-01-27T17:45:16Z	SUB15970265	009_P4P6_WT_nobc_5mMMgMRTpH83_tp2_p_S9_L001_R1_001.fastq.gz, 009_P4P6_WT_nobc_5mMMgMRTpH83_tp2_p_S9_L001_R2_001.fastq.gz
SRR37002230	010_P4P6_WT_nobc_5mMMgMRTpH83_tp3_p	PRJNA1400640	SAMN54924847	ToBeReleased	2027-02-01	2026-01-27T17:40:29Z	2026-01-27T17:45:16Z	SUB15970265	010_P4P6_WT_nobc_5mMMgMRTpH83_tp3_p_S10_L001_R1_001.fastq.gz, 010_P4P6_WT_nobc_5mMMgMRTpH83_tp3_p_S10_L001_R2_001.fastq.gz
SRR37002226	014_P4P6_WT_nobc_5mMMgMRTpH83_tp6_m	PRJNA1400640	SAMN54924851	ToBeReleased	2027-02-01	2026-01-27T17:40:28Z	2026-01-27T17:45:16Z	SUB15970265	014_P4P6_WT_nobc_5mMMgMRTpH83_tp6_m_S14_L001_R1_001.fastq.gz, 014_P4P6_WT_nobc_5mMMgMRTpH83_tp6_m_S14_L001_R2_001.fastq.gz
SRR37002229	011_P4P6_WT_nobc_5mMMgMRTpH83_tp4_p	PRJNA1400640	SAMN54924848	ToBeReleased	2027-02-01	2026-01-27T17:40:29Z	2026-01-27T17:45:16Z	SUB15970265	011_P4P6_WT_nobc_5mMMgMRTpH83_tp4_p_S11_L001_R1_001.fastq.gz, 011_P4P6_WT_nobc_5mMMgMRTpH83_tp4_p_S11_L001_R2_001.fastq.gz
SRR37002232	008_P4P6_WT_nobc_5mMMgMRTpH83_tp1_p	PRJNA1400640	SAMN54924845	ToBeReleased	2027-02-01	2026-01-27T17:40:30Z	2026-01-27T17:45:16Z	SUB15970265	008_P4P6_WT_nobc_5mMMgMRTpH83_tp1_p_S8_L001_R1_001.fastq.gz, 008_P4P6_WT_nobc_5mMMgMRTpH83_tp1_p_S8_L001_R2_001.fastq.gz
SRR37002227	013_P4P6_WT_nobc_5mMMgMRTpH83_tp6_p	PRJNA1400640	SAMN54924850	ToBeReleased	2027-02-01	2026-01-27T17:40:29Z	2026-01-27T17:45:16Z	SUB15970265	013_P4P6_WT_nobc_5mMMgMRTpH83_tp6_p_S13_L001_R1_001.fastq.gz, 013_P4P6_WT_nobc_5mMMgMRTpH83_tp6_p_S13_L001_R2_001.fastq.gz
SRR37002209	002_P4P6_WT_nobc_0mMMgMRTpH83_tp2_p	PRJNA1400640	SAMN54924837	ToBeReleased	2027-02-01	2026-01-27T17:38:35Z	2026-01-27T17:43:22Z	SUB15970263	002_P4P6_WT_nobc_0mMMgMRTpH83_tp2_p_S2_L001_R1_001.fastq.gz, 002_P4P6_WT_nobc_0mMMgMRTpH83_tp2_p_S2_L001_R2_001.fastq.gz
SRR37002208	003_P4P6_WT_nobc_0mMMgMRTpH83_tp3_p	PRJNA1400640	SAMN54924838	ToBeReleased	2027-02-01	2026-01-27T17:38:35Z	2026-01-27T17:42:59Z	SUB15970263	003_P4P6_WT_nobc_0mMMgMRTpH83_tp3_p_S3_L001_R1_001.fastq.gz, 003_P4P6_WT_nobc_0mMMgMRTpH83_tp3_p_S3_L001_R2_001.fastq.gz
SRR37002207	004_P4P6_WT_nobc_0mMMgMRTpH83_tp4_p	PRJNA1400640	SAMN54924839	ToBeReleased	2027-02-01	2026-01-27T17:38:35Z	2026-01-27T17:42:54Z	SUB15970263	004_P4P6_WT_nobc_0mMMgMRTpH83_tp4_p_S4_L001_R1_001.fastq.gz, 004_P4P6_WT_nobc_0mMMgMRTpH83_tp4_p_S4_L001_R2_001.fastq.gz
SRR37002186	069-HIV-A35G-70c-b-3-p	PRJNA1400640	SAMN54924586	ToBeReleased	2027-02-01	2026-01-27T17:38:30Z	2026-01-27T17:42:54Z	SUB15970215	069-HIV-A35G-70c-b-3-p_S69_L001_R1_001.fastq.gz, 069-HIV-A35G-70c-b-3-p_S69_L001_R2_001.fastq.gz
SRR37002205	006_P4P6_WT_nobc_0mMMgMRTpH83_tp6_p	PRJNA1400640	SAMN54924841	ToBeReleased	2027-02-01	2026-01-27T17:38:35Z	2026-01-27T17:42:53Z	SUB15970263	006_P4P6_WT_nobc_0mMMgMRTpH83_tp6_p_S6_L001_R1_001.fastq.gz, 006_P4P6_WT_nobc_0mMMgMRTpH83_tp6_p_S6_L001_R2_001.fastq.gz
SRR37002182	070-HIV-A35G-70c-b-4-p	PRJNA1400640	SAMN54924587	ToBeReleased	2027-02-01	2026-01-27T17:38:30Z	2026-01-27T17:42:53Z	SUB15970215	070-HIV-A35G-70c-b-4-p_S70_L001_R1_001.fastq.gz, 070-HIV-A35G-70c-b-4-p_S70_L001_R2_001.fastq.gz
SRR37002210	001_P4P6_WT_nobc_0mMMg_MRTpH83_tp1_p	PRJNA1400640	SAMN54924836	ToBeReleased	2027-02-01	2026-01-27T17:38:35Z	2026-01-27T17:42:51Z	SUB15970263	001_P4P6_WT_nobc_0mMMg_MRTpH83_tp1_p_S1_L001_R1_001.fastq.gz, 001_P4P6_WT_nobc_0mMMg_MRTpH83_tp1_p_S1_L001_R2_001.fastq.gz
SRR37002184	072-HIV-A35G-70c-b-6-p	PRJNA1400640	SAMN54924589	ToBeReleased	2027-02-01	2026-01-27T17:38:30Z	2026-01-27T17:42:50Z	SUB15970215	072-HIV-A35G-70c-b-6-p_S72_L001_R1_001.fastq.gz, 072-HIV-A35G-70c-b-6-p_S72_L001_R2_001.fastq.gz
SRR37002187	068-HIV-A35G-70c-b-2-p	PRJNA1400640	SAMN54924585	ToBeReleased	2027-02-01	2026-01-27T17:38:30Z	2026-01-27T17:42:48Z	SUB15970215	068-HIV-A35G-70c-b-2-p_S68_L001_R1_001.fastq.gz, 068-HIV-A35G-70c-b-2-p_S68_L001_R2_001.fastq.gz
SRR37002188	067-HIV-A35G-70c-b-1-p	PRJNA1400640	SAMN54924584	ToBeReleased	2027-02-01	2026-01-27T17:38:30Z	2026-01-27T17:42:48Z	SUB15970215	067-HIV-A35G-70c-b-1-p_S67_L001_R1_001.fastq.gz, 067-HIV-A35G-70c-b-1-p_S67_L001_R2_001.fastq.gz
SRR37002206	005_P4P6_WT_nobc_0mMMgMRTpH83_tp5_p	PRJNA1400640	SAMN54924840	ToBeReleased	2027-02-01	2026-01-27T17:38:35Z	2026-01-27T17:42:47Z	SUB15970263	005_P4P6_WT_nobc_0mMMgMRTpH83_tp5_p_S5_L001_R1_001.fastq.gz, 005_P4P6_WT_nobc_0mMMgMRTpH83_tp5_p_S5_L001_R2_001.fastq.gz
SRR37002204	007_P4P6_WT_nobc_0mMMgMRTpH83_tp6_m	PRJNA1400640	SAMN54924842	ToBeReleased	2027-02-01	2026-01-27T17:38:35Z	2026-01-27T17:42:46Z	SUB15970263	007_P4P6_WT_nobc_0mMMgMRTpH83_tp6_m_S7_L001_R1_001.fastq.gz, 007_P4P6_WT_nobc_0mMMgMRTpH83_tp6_m_S7_L001_R2_001.fastq.gz
SRR37002185	076-HIV-A35G-70c-b-6-m	PRJNA1400640	SAMN54924590	ToBeReleased	2027-02-01	2026-01-27T17:38:30Z	2026-01-27T17:42:45Z	SUB15970215	076-HIV-A35G-70c-b-6-m_S76_L001_R1_001.fastq.gz, 076-HIV-A35G-70c-b-6-m_S76_L001_R2_001.fastq.gz
SRR37002162	011-HIV-C30U-25c-b-5-p	PRJNA1400640	SAMN54924712	ToBeReleased	2027-02-01	2026-01-27T17:38:27Z	2026-01-27T17:42:42Z	SUB15970241	011-HIV-C30U-25c-b-5-p_S11_L001_R1_001.fastq.gz, 011-HIV-C30U-25c-b-5-p_S11_L001_R2_001.fastq.gz
SRR37002161	010-HIV-C30U-25c-b-4-p	PRJNA1400640	SAMN54924711	ToBeReleased	2027-02-01	2026-01-27T17:38:27Z	2026-01-27T17:42:42Z	SUB15970241	010-HIV-C30U-25c-b-4-p_S10_L001_R1_001.fastq.gz, 010-HIV-C30U-25c-b-4-p_S10_L001_R2_001.fastq.gz
SRR37002183	071-HIV-A35G-70c-b-5-p	PRJNA1400640	SAMN54924588	ToBeReleased	2027-02-01	2026-01-27T17:38:30Z	2026-01-27T17:42:41Z	SUB15970215	071-HIV-A35G-70c-b-5-p_S71_L001_R1_001.fastq.gz, 071-HIV-A35G-70c-b-5-p_S71_L001_R2_001.fastq.gz
SRR37002163	007-HIV-C30U-25c-b-1-p	PRJNA1400640	SAMN54924708	ToBeReleased	2027-02-01	2026-01-27T17:38:27Z	2026-01-27T17:42:39Z	SUB15970241	007-HIV-C30U-25c-b-1-p_S7_L001_R1_001.fastq.gz, 007-HIV-C30U-25c-b-1-p_S7_L001_R2_001.fastq.gz
SRR37002160	009-HIV-C30U-25c-b-3-p	PRJNA1400640	SAMN54924710	ToBeReleased	2027-02-01	2026-01-27T17:38:27Z	2026-01-27T17:42:38Z	SUB15970241	009-HIV-C30U-25c-b-3-p_S9_L001_R1_001.fastq.gz, 009-HIV-C30U-25c-b-3-p_S9_L001_R2_001.fastq.gz
SRR37002159	008-HIV-C30U-25c-b-2-p	PRJNA1400640	SAMN54924709	ToBeReleased	2027-02-01	2026-01-27T17:38:27Z	2026-01-27T17:42:13Z	SUB15970241	008-HIV-C30U-25c-b-2-p_S8_L001_R1_001.fastq.gz, 008-HIV-C30U-25c-b-2-p_S8_L001_R2_001.fastq.gz
SRR37002008	048-HIV-C30U-80c-b-6-p	PRJNA1400640	SAMN54924764	ToBeReleased	2027-02-01	2026-01-27T17:32:36Z	2026-01-27T17:37:42Z	SUB15970261	048-HIV-C30U-80c-b-6-p_S48_L001_R1_001.fastq.gz, 048-HIV-C30U-80c-b-6-p_S48_L001_R2_001.fastq.gz
SRR37002004	044-HIV-C30U-80c-b-2-p	PRJNA1400640	SAMN54924760	ToBeReleased	2027-02-01	2026-01-27T17:32:36Z	2026-01-27T17:37:37Z	SUB15970261	044-HIV-C30U-80c-b-2-p_S44_L001_R1_001.fastq.gz, 044-HIV-C30U-80c-b-2-p_S44_L001_R2_001.fastq.gz
SRR37002007	047-HIV-C30U-80c-b-5-p	PRJNA1400640	SAMN54924763	ToBeReleased	2027-02-01	2026-01-27T17:32:36Z	2026-01-27T17:37:32Z	SUB15970261	047-HIV-C30U-80c-b-5-p_S47_L001_R1_001.fastq.gz, 047-HIV-C30U-80c-b-5-p_S47_L001_R2_001.fastq.gz
SRR37002005	045-HIV-C30U-80c-b-3-p	PRJNA1400640	SAMN54924761	ToBeReleased	2027-02-01	2026-01-27T17:32:36Z	2026-01-27T17:37:28Z	SUB15970261	045-HIV-C30U-80c-b-3-p_S45_L001_R1_001.fastq.gz, 045-HIV-C30U-80c-b-3-p_S45_L001_R2_001.fastq.gz
SRR37002009	088-HIV-C30U-80c-b-6-m	PRJNA1400640	SAMN54924765	ToBeReleased	2027-02-01	2026-01-27T17:32:36Z	2026-01-27T17:37:27Z	SUB15970261	088-HIV-C30U-80c-b-6-m_S88_L001_R1_001.fastq.gz, 088-HIV-C30U-80c-b-6-m_S88_L001_R2_001.fastq.gz
SRR37002006	046-HIV-C30U-80c-b-4-p	PRJNA1400640	SAMN54924762	ToBeReleased	2027-02-01	2026-01-27T17:32:36Z	2026-01-27T17:37:25Z	SUB15970261	046-HIV-C30U-80c-b-4-p_S46_L001_R1_001.fastq.gz, 046-HIV-C30U-80c-b-4-p_S46_L001_R2_001.fastq.gz
SRR37001997	083-HIV-C30U-70c-a-6-m	PRJNA1400640	SAMN54924719	ToBeReleased	2027-02-01	2026-01-27T17:32:34Z	2026-01-27T17:37:24Z	SUB15970242	083-HIV-C30U-70c-a-6-m_S83_L001_R1_001.fastq.gz, 083-HIV-C30U-70c-a-6-m_S83_L001_R2_001.fastq.gz
SRR37002000	013-HIV-C30U-70c-a-1-p	PRJNA1400640	SAMN54924713	ToBeReleased	2027-02-01	2026-01-27T17:32:34Z	2026-01-27T17:37:23Z	SUB15970242	013-HIV-C30U-70c-a-1-p_S13_L001_R1_001.fastq.gz, 013-HIV-C30U-70c-a-1-p_S13_L001_R2_001.fastq.gz
SRR37001994	016-HIV-C30U-70c-a-4-p	PRJNA1400640	SAMN54924716	ToBeReleased	2027-02-01	2026-01-27T17:32:34Z	2026-01-27T17:37:20Z	SUB15970242	016-HIV-C30U-70c-a-4-p_S16_L001_R1_001.fastq.gz, 016-HIV-C30U-70c-a-4-p_S16_L001_R2_001.fastq.gz
SRR37001999	015-HIV-C30U-70c-a-3-p	PRJNA1400640	SAMN54924715	ToBeReleased	2027-02-01	2026-01-27T17:32:34Z	2026-01-27T17:37:19Z	SUB15970242	015-HIV-C30U-70c-a-3-p_S15_L001_R1_001.fastq.gz, 015-HIV-C30U-70c-a-3-p_S15_L001_R2_001.fastq.gz
SRR37001993	001-HIV-C30U-25c-a-1-p	PRJNA1400640	SAMN54924701	ToBeReleased	2027-02-01	2026-01-27T17:32:33Z	2026-01-27T17:37:18Z	SUB15970239	001-HIV-C30U-25c-a-1-p_S1_L001_R1_001.fastq.gz, 001-HIV-C30U-25c-a-1-p_S1_L001_R2_001.fastq.gz
SRR37001995	017-HIV-C30U-70c-a-5-p	PRJNA1400640	SAMN54924717	ToBeReleased	2027-02-01	2026-01-27T17:32:34Z	2026-01-27T17:37:17Z	SUB15970242	017-HIV-C30U-70c-a-5-p_S17_L001_R1_001.fastq.gz, 017-HIV-C30U-70c-a-5-p_S17_L001_R2_001.fastq.gz
SRR37002003	043-HIV-C30U-80c-b-1-p	PRJNA1400640	SAMN54924759	ToBeReleased	2027-02-01	2026-01-27T17:32:36Z	2026-01-27T17:37:15Z	SUB15970261	043-HIV-C30U-80c-b-1-p_S43_L001_R1_001.fastq.gz, 043-HIV-C30U-80c-b-1-p_S43_L001_R2_001.fastq.gz
SRR37001998	014-HIV-C30U-70c-a-2-p	PRJNA1400640	SAMN54924714	ToBeReleased	2027-02-01	2026-01-27T17:32:34Z	2026-01-27T17:37:13Z	SUB15970242	014-HIV-C30U-70c-a-2-p_S14_L001_R1_001.fastq.gz, 014-HIV-C30U-70c-a-2-p_S14_L001_R2_001.fastq.gz
SRR37001989	005-HIV-C30U-25c-a-5-p	PRJNA1400640	SAMN54924705	ToBeReleased	2027-02-01	2026-01-27T17:32:33Z	2026-01-27T17:37:11Z	SUB15970239	005-HIV-C30U-25c-a-5-p_S5_L001_R1_001.fastq.gz, 005-HIV-C30U-25c-a-5-p_S5_L001_R2_001.fastq.gz
SRR37001996	018-HIV-C30U-70c-a-6-p	PRJNA1400640	SAMN54924718	ToBeReleased	2027-02-01	2026-01-27T17:32:34Z	2026-01-27T17:37:09Z	SUB15970242	018-HIV-C30U-70c-a-6-p_S18_L001_R1_001.fastq.gz, 018-HIV-C30U-70c-a-6-p_S18_L001_R2_001.fastq.gz
SRR37001986	073-HIV-A35G-75c-a-1-p	PRJNA1400640	SAMN54924650	ToBeReleased	2027-02-01	2026-01-27T17:32:32Z	2026-01-27T17:37:06Z	SUB15970216	073-HIV-A35G-75c-a-1-p_S73_L001_R1_001.fastq.gz, 073-HIV-A35G-75c-a-1-p_S73_L001_R2_001.fastq.gz
SRR37001992	002-HIV-C30U-25c-a-2-p	PRJNA1400640	SAMN54924702	ToBeReleased	2027-02-01	2026-01-27T17:32:33Z	2026-01-27T17:37:05Z	SUB15970239	002-HIV-C30U-25c-a-2-p_S2_L001_R1_001.fastq.gz, 002-HIV-C30U-25c-a-2-p_S2_L001_R2_001.fastq.gz
SRR37001991	003-HIV-C30U-25c-a-3-p	PRJNA1400640	SAMN54924703	ToBeReleased	2027-02-01	2026-01-27T17:32:33Z	2026-01-27T17:37:02Z	SUB15970239	003-HIV-C30U-25c-a-3-p_S3_L001_R1_001.fastq.gz, 003-HIV-C30U-25c-a-3-p_S3_L001_R2_001.fastq.gz
SRR37001985	074-HIV-A35G-75c-a-2-p	PRJNA1400640	SAMN54924651	ToBeReleased	2027-02-01	2026-01-27T17:32:32Z	2026-01-27T17:37:01Z	SUB15970216	074-HIV-A35G-75c-a-2-p_S74_L001_R1_001.fastq.gz, 074-HIV-A35G-75c-a-2-p_S74_L001_R2_001.fastq.gz
SRR37001981	078-HIV-A35G-75c-a-6-p	PRJNA1400640	SAMN54924655	ToBeReleased	2027-02-01	2026-01-27T17:32:31Z	2026-01-27T17:36:57Z	SUB15970216	078-HIV-A35G-75c-a-6-p_S78_L001_R1_001.fastq.gz, 078-HIV-A35G-75c-a-6-p_S78_L001_R2_001.fastq.gz
SRR37001987	006-HIV-C30U-25c-a-6-p	PRJNA1400640	SAMN54924706	ToBeReleased	2027-02-01	2026-01-27T17:32:32Z	2026-01-27T17:36:52Z	SUB15970239	006-HIV-C30U-25c-a-6-p_S6_L001_R1_001.fastq.gz, 006-HIV-C30U-25c-a-6-p_S6_L001_R2_001.fastq.gz
SRR37001990	004-HIV-C30U-25c-a-4-p	PRJNA1400640	SAMN54924704	ToBeReleased	2027-02-01	2026-01-27T17:32:33Z	2026-01-27T17:36:49Z	SUB15970239	004-HIV-C30U-25c-a-4-p_S4_L001_R1_001.fastq.gz, 004-HIV-C30U-25c-a-4-p_S4_L001_R2_001.fastq.gz
SRR37001984	075-HIV-A35G-75c-a-3-p	PRJNA1400640	SAMN54924652	ToBeReleased	2027-02-01	2026-01-27T17:32:31Z	2026-01-27T17:36:48Z	SUB15970216	075-HIV-A35G-75c-a-3-p_S75_L001_R1_001.fastq.gz, 075-HIV-A35G-75c-a-3-p_S75_L001_R2_001.fastq.gz
SRR37001982	077-HIV-A35G-75c-a-5-p	PRJNA1400640	SAMN54924654	ToBeReleased	2027-02-01	2026-01-27T17:32:31Z	2026-01-27T17:36:43Z	SUB15970216	077-HIV-A35G-75c-a-5-p_S77_L001_R1_001.fastq.gz, 077-HIV-A35G-75c-a-5-p_S77_L001_R2_001.fastq.gz
SRR37001988	081-HIV-C30U-25c-a-6-m	PRJNA1400640	SAMN54924707	ToBeReleased	2027-02-01	2026-01-27T17:32:33Z	2026-01-27T17:36:39Z	SUB15970239	081-HIV-C30U-25c-a-6-m_S81_L001_R1_001.fastq.gz, 081-HIV-C30U-25c-a-6-m_S81_L001_R2_001.fastq.gz
SRR37001983	076-HIV-A35G-75c-a-4-p	PRJNA1400640	SAMN54924653	ToBeReleased	2027-02-01	2026-01-27T17:32:31Z	2026-01-27T17:36:35Z	SUB15970216	076-HIV-A35G-75c-a-4-p_S76_L001_R1_001.fastq.gz, 076-HIV-A35G-75c-a-4-p_S76_L001_R2_001.fastq.gz
SRR37001978	042-HIV-C30U-80c-a-6-p	PRJNA1400640	SAMN54924757	ToBeReleased	2027-02-01	2026-01-27T17:32:29Z	2026-01-27T17:36:34Z	SUB15970260	042-HIV-C30U-80c-a-6-p_S42_L001_R1_001.fastq.gz, 042-HIV-C30U-80c-a-6-p_S42_L001_R2_001.fastq.gz
SRR37001979	087-HIV-C30U-80c-a-6-m	PRJNA1400640	SAMN54924758	ToBeReleased	2027-02-01	2026-01-27T17:32:29Z	2026-01-27T17:36:30Z	SUB15970260	087-HIV-C30U-80c-a-6-m_S87_L001_R1_001.fastq.gz, 087-HIV-C30U-80c-a-6-m_S87_L001_R2_001.fastq.gz
SRR37001977	041-HIV-C30U-80c-a-5-p	PRJNA1400640	SAMN54924756	ToBeReleased	2027-02-01	2026-01-27T17:32:29Z	2026-01-27T17:36:25Z	SUB15970260	041-HIV-C30U-80c-a-5-p_S41_L001_R1_001.fastq.gz, 041-HIV-C30U-80c-a-5-p_S41_L001_R2_001.fastq.gz
SRR37001976	040-HIV-C30U-80c-a-4-p	PRJNA1400640	SAMN54924755	ToBeReleased	2027-02-01	2026-01-27T17:32:29Z	2026-01-27T17:36:20Z	SUB15970260	040-HIV-C30U-80c-a-4-p_S40_L001_R1_001.fastq.gz, 040-HIV-C30U-80c-a-4-p_S40_L001_R2_001.fastq.gz
SRR37001973	037-HIV-C30U-80c-a-1-p	PRJNA1400640	SAMN54924752	ToBeReleased	2027-02-01	2026-01-27T17:32:28Z	2026-01-27T17:36:05Z	SUB15970260	037-HIV-C30U-80c-a-1-p_S37_L001_R1_001.fastq.gz, 037-HIV-C30U-80c-a-1-p_S37_L001_R2_001.fastq.gz
SRR37001975	039-HIV-C30U-80c-a-3-p	PRJNA1400640	SAMN54924754	ToBeReleased	2027-02-01	2026-01-27T17:32:29Z	2026-01-27T17:36:00Z	SUB15970260	039-HIV-C30U-80c-a-3-p_S39_L001_R1_001.fastq.gz, 039-HIV-C30U-80c-a-3-p_S39_L001_R2_001.fastq.gz
SRR37001974	038-HIV-C30U-80c-a-2-p	PRJNA1400640	SAMN54924753	ToBeReleased	2027-02-01	2026-01-27T17:32:28Z	2026-01-27T17:35:56Z	SUB15970260	038-HIV-C30U-80c-a-2-p_S38_L001_R1_001.fastq.gz, 038-HIV-C30U-80c-a-2-p_S38_L001_R2_001.fastq.gz
SRR37001969	080-HIV-A35G-80c-b-6-m	PRJNA1400640	SAMN54924694	ToBeReleased	2027-02-01	2026-01-27T17:31:32Z	2026-01-27T17:33:38Z	SUB15970223	080-HIV-A35G-80c-b-6-m_S80_L001_R1_001.fastq.gz, 080-HIV-A35G-80c-b-6-m_S80_L001_R2_001.fastq.gz
SRR37001967	095-HIV-A35G-80c-b-6-p	PRJNA1400640	SAMN54924699	ToBeReleased	2027-02-01	2026-01-27T17:31:32Z	2026-01-27T17:33:37Z	SUB15970223	095-HIV-A35G-80c-b-6-p_S95_L001_R1_001.fastq.gz, 095-HIV-A35G-80c-b-6-p_S95_L001_R2_001.fastq.gz
SRR37001963	063-HIV-A35G-70c-a-3-p	PRJNA1400640	SAMN54924573	ToBeReleased	2027-02-01	2026-01-27T17:31:30Z	2026-01-27T17:33:37Z	SUB15970206	063-HIV-A35G-70c-a-3-p_S63_L001_R1_001.fastq.gz, 063-HIV-A35G-70c-a-3-p_S63_L001_R2_001.fastq.gz
SRR37001970	091-HIV-A35G-80c-b-6-p	PRJNA1400640	SAMN54924695	ToBeReleased	2027-02-01	2026-01-27T17:31:32Z	2026-01-27T17:33:35Z	SUB15970223	091-HIV-A35G-80c-b-6-p_S91_L001_R1_001.fastq.gz, 091-HIV-A35G-80c-b-6-p_S91_L001_R2_001.fastq.gz
SRR37001964	062-HIV-A35G-70c-a-2-p	PRJNA1400640	SAMN54924572	ToBeReleased	2027-02-01	2026-01-27T17:31:30Z	2026-01-27T17:33:35Z	SUB15970206	062-HIV-A35G-70c-a-2-p_S62_L001_R1_001.fastq.gz, 062-HIV-A35G-70c-a-2-p_S62_L001_R2_001.fastq.gz
SRR37001971	092-HIV-A35G-80c-b-6-p	PRJNA1400640	SAMN54924696	ToBeReleased	2027-02-01	2026-01-27T17:31:32Z	2026-01-27T17:33:35Z	SUB15970223	092-HIV-A35G-80c-b-6-p_S92_L001_R1_001.fastq.gz, 092-HIV-A35G-80c-b-6-p_S92_L001_R2_001.fastq.gz
