ntp,temp,rep,peak,k1,k1_err,k2,k2_err,rsq,chisq
GTP,25,1,peak8,0.003603928627525174,0.00014916196908122234,0.0004282332464615861,8.006836779963816e-06,0.9880642402984907,2.342971403699746e-07
GTP,25,1,peak6,5.425237906567694e-05,0.00011783394316698984,0.00045052169914108916,8.283520908643213e-06,0.9917970614897997,2.2670275474807461e-07
GTP,33,1,peak8_raw,0.007828262677950105,2.5158115180120858e-05,0.0005425083675162704,6.514100143588771e-07,0.9999212777576925,1.1850687279138735e-09
GTP,33,1,peak8,0.00402458397714552,1.56997218335117e-05,0.0005625649533179693,4.721627330104422e-07,0.9999710013663313,5.897688565494758e-10
GTP,33,1,peak6,0.00634449504192232,3.123612320087413e-05,0.0005502554752539898,8.581294854782897e-07,0.9998808609250314,2.0133058310714286e-09
GTP,33,1,peak6_raw,0.005638368819247401,2.4929049234531906e-05,0.0005536883189841029,7.038955906764936e-07,0.9999250066756811,1.3432243273505807e-09
GTP,42,1,peak6,0.015514100764704549,0.0017702688597714756,0.001435724256672049,6.583958456042195e-05,0.938052095701849,1.1404013414529695e-06
GTP,42,1,peak8,0.010953131050140306,0.001645785982101432,0.001460210831390476,6.676215548988126e-05,0.945865769588933,1.1393157620900166e-06
GTP,48,1,peak8,0.035530889085542194,0.00017453123198445076,0.002284839569821321,4.924176808772091e-06,0.9997923622944372,3.0713598892926185e-09
UTP,20,1,peak8_raw,8.507812003136981e-05,3.426731815072516e-05,7.798168034729457e-05,8.989122904099358e-07,0.9755598072426812,8.91125077318193e-07
